stem,cat,solid_fraction
IT_085,ITs,0.6270735095336277
IT_086,ITs,0.44351332932950377
IT_087,ITs,0.3440970722860351
IT_088,ITs,0.703348917296019
IT_089,ITs,0.4077649741781776
IT_090,ITs,0.3333719582850521
IT_091,ITs,0.704289142544514
IT_092,ITs,0.4175295936302226
IT_093,ITs,0.2948271945481097
IT_094,ITs,0.09842139024413084
IT_095,ITs,0.3580702538333908
IT_096,ITs,0.3304463068371423
IT_097,ITs,0.5655184067365417
IT_098,ITs,0.6055269082722057
IT_099,ITs,0.5937093441493839
IT_100,ITs,0.6726984641423144
IT_101,ITs,0.3194156207228932
IT_102,ITs,0.64898686136832
IT_103,ITs,0.5756781750924784
IT_104,ITs,0.631858229875851
IT_105,ITs,0.6868330885952031
IT_106,ITs,0.08944437914386588
MGCT_001,MGCTs,0.9433599676342672
MGCT_002,MGCTs,0.996393903655992
MGCT_003,MGCTs,0.41939771751739247
MGCT_004,MGCTs,0.8554768129902298
MGCT_005,MGCTs,0.510983643348427
MGCT_006,MGCTs,0.9549807822744744
MGCT_007,MGCTs,0.9219145776923748
MGCT_008,MGCTs,0.7895422404168218
MGCT_009,MGCTs,0.8707730581406062
MGCT_010,MGCTs,0.8745632270334822
MGCT_011,MGCTs,0.9693675889328063
MGCT_012,MGCTs,0.9152032112393377
MGCT_013,MGCTs,0.6000867664340259
MGCT_014,MGCTs,0.8308064917389841
MGCT_015,MGCTs,0.9281469898358092
MGCT_016,MGCTs,0.9603921292051626
MGCT_017,MGCTs,0.9603921292051626
MGCT_018,MGCTs,0.9574128293851477
MGCT_019,MGCTs,0.8716356107660456
MGCT_020,MGCTs,0.9582235915784592
MGCT_021,MGCTs,0.8480214621059692
MGCT_022,MGCTs,0.5008461509533301
MGCT_023,MGCTs,0.8428093041184336
MGCT_024,MGCTs,0.7192653976399339
MGCT_025,MGCTs,0.804942566220966
MGCT_026,MGCTs,0.860895711346732
MGCT_027,MGCTs,0.7677739832350202
MGCT_028,MGCTs,0.8746360430418664
MGCT_029,MGCTs,0.9734211265909182
MGCT_030,MGCTs,0.8715429403202329
MGCT_031,MGCTs,0.8203707182666417
MGCT_032,MGCTs,0.8818770226537217
MGCT_033,MGCTs,0.935663082437276
MGCT_034,MGCTs,0.8342420937840785
MGCT_035,MGCTs,0.8203434610303831
MGCT_036,MGCTs,0.847036328871893
MGCT_037,MGCTs,0.8723381256080424
MGCT_038,MGCTs,0.7509617478406039
MGCT_039,MGCTs,0.8212179857474851
MGCT_040,MGCTs,0.8601343646953681
MGCT_041,MGCTs,0.5966259978912487
MGCT_042,MGCTs,0.9059813426010609
MGCT_043,MGCTs,0.881857357284656
MGCT_044,MGCTs,0.9451126840071215
MGCT_045,MGCTs,0.6925943736475114
MGCT_046,MGCTs,0.8372780333382797
MGCT_047,MGCTs,0.9753703700309566
MGCT_048,MGCTs,0.6976677235895113
MGCT_049,MGCTs,0.9523146277318105
MGCT_050,MGCTs,0.93578125
MGCT_051,MGCTs,0.9019786217875825
MGCT_052,MGCTs,0.8103433218710769
MGCT_053,MGCTs,0.9878249597084997
MGCT_054,MGCTs,0.7482142857142857
MGCT_055,MGCTs,0.8564122573542732
MGCT_056,MGCTs,0.9700402584027713
MGCT_057,MGCTs,0.7604842538376325
MGCT_058,MGCTs,0.9614364010614289
MGCT_059,MGCTs,0.8639098523443571
MGCT_060,MGCTs,0.9745498762693062
MGCT_061,MGCTs,0.9955305936795475
MGCT_062,MGCTs,0.9937806088268064
MGCT_063,MGCTs,0.843700050235192
MGCT_064,MGCTs,0.9763309925385117
MGCT_065,MGCTs,0.9794846356219716
MGCT_066,MGCTs,0.9978205491084065
MGCT_067,MGCTs,0.7045058891799062
MGCT_068,MGCTs,0.7756280371827361
MGCT_069,MGCTs,0.9679060029254581
MGCT_070,MGCTs,0.7489841986455982
MGCT_071,MGCTs,0.9710126789444803
MGCT_072,MGCTs,0.949969437867536
MGCT_073,MGCTs,0.8025022758572395
MGCT_074,MGCTs,0.6988365439633798
MGCT_075,MGCTs,0.8583199356913184
MGCT_076,MGCTs,0.9767605136825801
MGCT_077,MGCTs,0.7467329709725916
MGCT_078,MGCTs,0.9590600718326722
MGCT_079,MGCTs,0.7834663031712304
MGCT_080,MGCTs,0.8428896991795807
MGCT_081,MGCTs,0.9308082486741138
MGCT_082,MGCTs,0.9843055555555555
MGCT_083,MGCTs,0.9377322322458732
MGCT_084,MGCTs,0.8928058529922206
MGCT_085,MGCTs,0.8296519683755808
MGCT_086,MGCTs,0.8715872281351227
MGCT_087,MGCTs,0.5946137491141035
MGCT_088,MGCTs,0.8455758663227543
MGCT_089,MGCTs,0.9337099351860073
MGCT_090,MGCTs,0.6064287911411873
MGCT_091,MGCTs,0.8843235545428653
MGCT_092,MGCTs,0.8817549563290052
MGCT_093,MGCTs,0.6800970361776184
MGCT_094,MGCTs,0.9909762991954773
MGCT_095,MGCTs,0.894422493797666
MGCT_096,MGCTs,0.7268026755283374
MGCT_097,MGCTs,0.9538194809288641
MGCT_098,MGCTs,0.6663755458515284
MGCT_099,MGCTs,0.9203618510070747
MGCT_100,MGCTs,0.5219955371373924
MGCT_101,MGCTs,0.8633063443190025
MGCT_102,MGCTs,0.9469635484667772
MGCT_103,MGCTs,0.8901562112571287
MGCT_104,MGCTs,0.8982703896223377
MGCT_105,MGCTs,0.9239568066575697
MGCT_106,MGCTs,0.8417005623166799
MGCT_107,MGCTs,0.7695302361796003
MGCT_108,MGCTs,0.8980624471925647
MGCT_109,MGCTs,0.8361428312488671
MGCT_110,MGCTs,0.6552217453505007
MGCT_111,MGCTs,0.9765027322404372
MGCT_112,MGCTs,0.9855816010614772
MGCT_113,MGCTs,0.9247880807993032
MGCT_114,MGCTs,0.9946822386771818
MGCT_115,MGCTs,0.987550313582327
MGCT_116,MGCTs,0.8697796625795151
MGCT_118,MGCTs,0.9832844374701508
MGCT_119,MGCTs,0.9592961690410424
MGCT_120,MGCTs,0.9859645272251844
MGCT_121,MGCTs,0.9804307447373076
MGCT_122,MGCTs,0.7109920893714692
